@relation 'Polution-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,5-6,9-10'

@attribute DayWeek {Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday}
@attribute NO2 numeric
@attribute PM10 numeric
@attribute Temperature numeric
@attribute Polution {SO2,NO,NO2,O3,CO,PM10}
@attribute Place {Palau_Reial,Torrente_Gornal,Sants}
@attribute Grade {1,2,3}

@data
Friday,34,16,11.4,NO2,Palau_Reial,3
Saturday,14,9,11.2,O3,Palau_Reial,3
Sunday,19,8,8.8,O3,Palau_Reial,3
Monday,23,8,9.6,O3,Palau_Reial,3
Tuesday,22,6,9.3,O3,Palau_Reial,3
Wednesday,6,9,7.8,O3,Palau_Reial,3
Thursday,17,8,12.4,O3,Palau_Reial,3
Friday,41,20,17.2,NO2,Palau_Reial,2
Saturday,35,13,14.4,O3,Palau_Reial,3
Sunday,17,14,13.7,O3,Palau_Reial,3
Monday,27,18,13,NO2,Palau_Reial,3
Tuesday,14,13,9.8,O3,Palau_Reial,3
Wednesday,36,15,8.8,NO2,Palau_Reial,2
Thursday,24,13,9.4,O3,Palau_Reial,3
Friday,33,12,7,NO2,Palau_Reial,3
Saturday,13,9,5.6,O3,Palau_Reial,3
Sunday,27,13,6.6,NO2,Palau_Reial,3
Monday,49,20,9.4,NO2,Palau_Reial,2
Tuesday,33,12,8,NO2,Palau_Reial,3
Wednesday,49,17,10.4,NO2,Palau_Reial,2
Thursday,62,27,9.1,NO2,Palau_Reial,2
Friday,67,32,10.8,NO2,Palau_Reial,2
Saturday,59,34,13.9,NO2,Palau_Reial,2
Sunday,35,20,11.2,NO2,Palau_Reial,3
Monday,49,25,13.4,NO2,Palau_Reial,2
Tuesday,43,23,12.8,NO2,Palau_Reial,2
Wednesday,43,25,13,NO2,Palau_Reial,2
Thursday,38,29,12.1,NO2,Palau_Reial,2
Friday,53,37,11.6,NO2,Palau_Reial,2
Saturday,24,19,11,?,Palau_Reial,3
Sunday,?,?,10.2,?,Palau_Reial,3
Monday,55,26,14.2,CO,Palau_Reial,3
Tuesday,44,19,13.6,PM10,Palau_Reial,3
Wednesday,35,20,12.4,NO2,Palau_Reial,3
Thursday,41,18,9.8,NO2,Palau_Reial,2
Friday,48,29,12.8,NO2,Palau_Reial,2
Saturday,42,20,11.2,NO2,Palau_Reial,3
Sunday,16,11,9.7,O3,Palau_Reial,3
Monday,20,16,12.4,O3,Palau_Reial,3
Tuesday,26,17,13.8,O3,Palau_Reial,3
Wednesday,37,14,11.9,NO2,Palau_Reial,2
Thursday,43,16,9.8,NO2,Palau_Reial,2
Friday,32,13,13.6,NO2,Palau_Reial,3
Saturday,26,9,16.3,O3,Palau_Reial,3
Sunday,13,8,10.5,O3,Palau_Reial,3
Monday,28,10,8.8,O3,Palau_Reial,3
Tuesday,30,14,8.2,NO2,Palau_Reial,3
Wednesday,27,12,5.8,O3,Palau_Reial,3
Thursday,26,17,6.8,O3,Palau_Reial,3
Friday,37,18,9,NO2,Palau_Reial,3
Saturday,37,17,10.6,O3,Palau_Reial,3
Sunday,30,18,14.1,O3,Palau_Reial,3
Monday,50,26,14.4,NO2,Palau_Reial,2
Tuesday,29,123,12.6,NO2,Palau_Reial,3
Wednesday,37,28,12.4,NO2,Palau_Reial,2
Thursday,28,21,13,O3,Palau_Reial,3
Friday,30,11,11,O3,Palau_Reial,3
Saturday,22,11,7.8,O3,Palau_Reial,3
Sunday,13,7,8.6,O3,Palau_Reial,3
Monday,27,19,11.3,NO2,Palau_Reial,3
Tuesday,32,16,11.8,NO2,Palau_Reial,2
Wednesday,22,17,12.8,O3,Palau_Reial,3
Thursday,17,10,11.3,O3,Palau_Reial,3
Friday,29,16,11.2,O3,Palau_Reial,3
Saturday,8,8,9.6,O3,Palau_Reial,3
Sunday,13,8,8,O3,Palau_Reial,3
Monday,26,11,9.6,O3,Palau_Reial,3
Tuesday,24,14,8.6,O3,Palau_Reial,3
Wednesday,37,12,5.9,NO2,Palau_Reial,3
Thursday,38,17,9.2,NO2,Palau_Reial,2
Friday,34,17,10.1,NO2,Palau_Reial,3
Saturday,30,15,9.8,NO2,Palau_Reial,3
Sunday,21,18,9.6,O3,Palau_Reial,3
Monday,35,23,10.4,O3,Palau_Reial,3
Tuesday,31,19,10.5,NO2,Palau_Reial,3
Wednesday,25,13,9,O3,Palau_Reial,3
Thursday,42,11,7.4,?,Palau_Reial,3
Friday,38,16,9.2,O3,Palau_Reial,3
Saturday,29,12,9.8,O3,Palau_Reial,3
Sunday,18,8,11.2,?,Palau_Reial,3
Monday,38,14,11,?,Palau_Reial,3
Tuesday,33,13,13.2,NO2,Palau_Reial,2
Wednesday,23,14,11.8,O3,Palau_Reial,3
